TERYT,Gmina,Rok,Frekwencja,MalTys,BudzM,BezPro,WspFem,WspObc,AptOs,PowUzM,BibM,WspSko,PodTys,OsbKM,WspX,WspY
101706,gm. Ostrówek,3,42.96296296,3.8,3413.55,6.6,104,61.2,4543,88.8,1514,84.57,53,45,18.63266739,51.33333141
101707,gm. Pątnów,3,46.06999426,7.3,2985.1,5.7,103,62.9,6557,105.1,3279,84.37,78,57,18.64769783,51.10994955
101708,gm. Skomlin,3,43.47664937,4.4,4399.82,6.4,101,60.2,3394,97.5,1697,92.47,55,61,18.39684867,51.17042506
101709,gm. Wieluń,3,49.50894557,4.6,2951.63,7.8,109,60.5,1458,74.6,4010,96.4,113,246,18.59235066,51.22457471
101710,gm. Wierzchlas,3,42.07994078,6.1,3707.5,7.4,101,58.9,3306,99.1,2204,106.86,63,56,18.7201535,51.17255333
101801,gm. Bolesławiec,3,41.93164933,2.7,3476.53,3.9,98,56.6,4063,99,1354,99.2,78,63,18.2140729,51.21477325
101802,gm. Czastary,3,41.19873817,5.3,3211.79,5.6,101,60.9,3959,93.1,1980,88.97,73,63,18.3161918,51.25249206
101803,gm. Galewice,3,38.32263242,5.4,3315.67,5,101,56.3,6247,101.8,1562,89.83,65,46,18.26717002,51.37752438
101804,gm. Lututów,3,45.22911051,5,3041.8,5.7,103,61.4,2314,90.4,2314,92.78,75,61,18.46949586,51.36157176
101805,gm. Łubnice,3,39.6731055,5.1,3384.66,3.8,102,61,4118,112.3,1373,93.27,72,68,18.29410756,51.17629895
